Food Group,Food_Protein,Protein (g),Food Group,Food_Fat,Total Fat (g),Food Group,Food_Fiber,Total Dietary Fiber(g),Food Group,Food_CHO,CHO (g),Food Group,Food_Energy,Energy (kcals),Food Group,Food_Thiamine,Thaimine (mg),Food Group,Food_Riboflavin,Riboflavin (mg),Food Group,Food_Niacin,Niacin (mg),Food Group,Food_Pantothenic ,Pantothenic acid (mg),Food Group,Food_B6,Total B6 (mg),Food Group,Food_Biotin,Biotin (B7) (mcg),Food Group,Food_folates,Total folates (mcg),Food Group,Food_ascorbic,Total ascorbic acid (mg),Food Group,Food_Ergocalciferol,Ergocalciferol D2 (mcg),Food Group,Food_Vit_E,Vit E (mg),Food Group,Food_Vit_K1,Vit K1 (mcg),Food Group,Food Name,beta- carotene (mcg),Food Group,Food Name,Calcium (mg),Food Group,Food Name,Chromium (mg),Food Group,Food Name,Iron (mg),Food Group,Food Name,Magnesium (mg),Food Group,Food Name,Manganese (mg),Food Group,Food Name,Molebdeum (mg),Food Group,Food Name,Phosphorus (mg),Food Group,Food Name,Potassium (mg),Food Group,Food Name,Selenium (mcg),Food Group,Food Name,Sodium (mg),Food Group,Food Name,Zinc (mg),Food Group,Food Name,Linoleic (mg),Food Group,Food Name,alpha- linolenic (mg),Food Group,Food Name,Arachidonic (mg),Food Group,Food Name,Histidine (g),Food Group,Food Name,Isoleucine (g),Food Group,Food_Luecine,Luecine (g),Food Group,Food_Lysine,Lysine (g),Food Group,Food_Methionine,Methionine (g),Food Group,Food_Cystine,Cystine (g),Food Group,Food_Phenylalanine,Phenylalanine (g),Food Group,Food_Threonine,Threonine (g),Food Group,Food_Tryptophan,Tryptophan (g),Food Group,Food_Valine,Valine (g)
GL,"Soya bean, white",37.8,NOS,Walnut,64.27,CSD,Fenugreek seeds,47.55,S,"Jaggery, cane ",84.87,NOS,Walnut,671.367854,NOS,Pistachio nuts,0.98,CSD,"Chillies, red",0.83,NOS,Ground nut ,11.35,GL,"Black gram, whole",3.98,NOS,Pistachio nuts,0.96,NOS,Linseeds,21.25,GL,Moth bean,349,F,Goosberry ,252,CSD,Pippali,118,NOS,Safflower seeds ,35.09,GLV,Drumstick leaves,479,GLV,Drumstick leaves,17542,NOS,"Gingelly seeds, black",1664,CM,"Amaranth seed, black",1.227,CSD,Turmeric powder,46.08,CSD,Cumin seedS,442,CSD,Cloves,61.86,F,Bael fruit ,0.819,CSD,Poppy seeds,804,CSD,Turmeric powder,2374,RT,Lotus root,611,CSD,Cloves,183,NOS,"Gingelly seeds, brown ",8.59,NOS,Walnut,36205,NOS,Linseeds,12956,MMP,"Milk,Whole,Buffollo",21.78,F,"Banana, ripe, montham",6.76,MMP,"Milk, Whole, Cow",6.2,CM,"Maize, dry",12.24,MMP,"Milk, Whole, Cow",8.59,NOS,"Gingelly seeds, black",3.36,OV,"Papaya, raw",3.77,GL,"Red gram, dal",8.76,F,Mangosteen ,6.87,CSD,Turmeric powder,2.06,F,"Jambu fruit, ripe",6.99
GL,"Soya bean, brown",35.58,NOS,"Coconut, kernel, dry ",63.26,CSD,Coriander seeds,44.81,CM,"Rice, raw, milled",78.24,NOS,"Coconut, kernel, dry ",624.044666,CSD,Poppy seeds,0.87,GLV,Bathua leaves,0.51,CSD,"Chillies, red",6.94,GL,"Black gram, dal",2.95,NOS,Sunflower seeds,0.94,MMP,Paneer,21.04,GL,"Rajmah, black",332,F,"Guava, pink flesh ",222,CSF,Curry leaves,117,NOS,Pistachio nuts,33.92,GLV,Garden cress,458,GLV,Agathi leaves,12582,CSD,Poppy seeds,1372,CSD,"Cardamom, green",0.21,CSD,Mace,22.69,NOS,Sunflower seeds,413,CSD,"Cardamom, green",37.98,F,Peach,0.713,NOS,Ground nut ,754,CSD,"Chillies, red",2245,RT,"Potato, brown skin, big",541,CSD,Cumin seedS,125,NOS,"Gingelly seeds, white",7.84,NOS,Sunflower seeds,25545,NOS,Walnut,8710,MMP,"Milk, Whole, Cow",7.03,F,"Banana, ripe, poovam ",6.42,NOS,"Gingelly seeds, white",6.02,CM,Jowar,12.03,MMP,"Milk,Whole,Buffollo",7.87,CM,Ragi,2.74,CM,"Wheat, whole",2.35,GL,"Red gram, whole",8.71,CSF,Mango ginger,5.7,RT,"Sweet potato, brown skin",1.9,CM,"Rice, raw, brown",6.72
CSD,Fenugreek seeds,25.41,NOS,Almond ,58.49,CSD,Cloves,34.52,CM,Rice puffed,77.68,NOS,Almond ,609.226294,NOS,Safflower seeds ,0.85,GLV,Drumstick leaves,0.45,NOS,"Garden cress, seeds ",5.67,GL,"Bengal gram, whole",2.38,NOS,Safflower seeds ,0.93,MMP,Khoa,20.39,GL,"Rajmah, brown",330,F,"Guava, white flesh ",214,F,"Pomegranate, maroon seeds",109,NOS,Almond ,25.86,GLV,"Gogu leaves, green",433,GLV,Fenugreek leaves,9254,NOS,"Gingelly seeds, white",1283,CSD,Turmeric powder,0.151,CSD,Cumin seedS,20.58,CSD,Poppy seeds,393,CSD,"Cardamom, black",30.25,GL,"Lentil whole, yellowish",0.299,NOS,Sunflower seeds,752,CSD,Cumin seedS,1886,RT,Colocasia,514,GLV,Beet greens,111,NOS,Ground nut ,7.77,NOS,Pine seed,23874,NOS,"Garden cress, seeds ",7484,NOS,Linseeds,0,F,"Banana, ripe, robusta ",5.85,NOS,"Gingelly seeds, black",5.69,CM,Varagu,11.96,GL,"Soya bean, brown",7.67,NOS,"Gingelly seeds, brown ",2.69,CM,"Wheat flour, atta",2.24,OV,"Red gram, tender, fresh",8.56,F,"Mango, ripe, paheri",5.45,GLV,Basella leaves,1.88,F,Black berry (Rubus fruticosus),6.57
GL,Lentil dal,24.35,NOS,Sunflower seeds,51.85,CSD,Pippali,34.14,CM,"Rice, parboiled, milled",77.16,NOS,Pine seed,594.168916,CSD,Asafoetida,0.82,NOS,"Niger seeds, gray ",0.35,NOS,"Gingelly seeds, white",3.94,GL,"Rajmah, brown",2.06,GLV,Drumstick leaves,0.87,NOS,Pine seed,18.46,GL,"Rajmah, red",316,F,"Currants, black ",182,NOS,"Gingelly seeds, brown ",76.51,NOS,Sunflower seeds,12.93,GLV,Fenugreek leaves,428,GLV,"Amaranth leaves, green",8553,NOS,"Gingelly seeds, brown ",1174,CSD,Cumin seedS,0.126,CSD,Coriander seeds,17.64,NOS,"Gingelly seeds, brown ",390,CSD,Turmeric powder,8.09,GL,"Cowpea, white",0.226,NOS,Linseeds,715,CSD,Pippali,1852,RT,"Yam, elephant",501,RT,Beet root,69.44,NOS,Sunflower seeds,7.07,NOS,"Niger seeds, gray ",23300,NOS,Mustard seeds ,3341,NOS,Walnut,0,F,Custard apple ,5.25,MMP,"Milk,Whole,Buffollo",5.3,MMP,"Milk, Whole, Cow",10.66,GLV,Agathi leaves,7.62,CM,Varagu,2.69,F,Pineapple ,2.23,GL,"Horse gram, whole",8.08,RT,"Sweet potato, brown skin",5.41,F,"Dates, dry, dark brown ",1.83,OV,Bottlegourd,6.51
GL,"Green gram, dal",23.88,NOS,Pine seed,48.79,CSD,"Pepper, black",33.16,CM,Rice flakes,76.75,NOS,Sunflower seeds,586.281718,GL,"Red gram, whole",0.74,NOS,Mustard seeds ,0.33,NOS,Mustard seeds ,3.8,GL,"Green gram, whole",2.02,NOS,Walnut,0.8,NOS,Safflower seeds ,17.37,GL,"Soya bean, brown",297,F,Karonda fruit ,135,GL,"Soya bean, white",69.81,NOS,Linseeds,8.28,OV,Drumstick,358,CSF,Curry leaves,7663,CSD,Omum,1034,MMP,Khoa,0.119,NOS,"Garden cress, seeds ",17.2,NOS,"Niger seeds, gray ",379,NOS,Pine seed,7.92,GL,"Green gram, whole",0.174,NOS,Safflower seeds ,644,CSD,Omum,1692,RT,"Yam, ordinary",463,RT,"Carrot, red",60.69,CSD,Poppy seeds,6.38,NOS,"Gingelly seeds, black",19123,GL,"Soya bean, white",1318,NOS,"Garden cress, seeds ",0,MMP,Khoa,4.93,GLV,"Pumpkin leaves, tender",5.27,CM,"Maize, tender, sweet",10.61,GL,"Soya bean, white",7.18,CM,"Rice, raw, milled",2.6,CM,Barley,2.2,GL,Ricebean,7.56,GLV,Agathi leaves,5.39,GLV,Agathi leaves,1.77,OV,Bitter gourd,6.49
NOS,Ground nut ,23.65,NOS,Cashew nut ,45.2,CSD,"Chillies, red",31.15,F,"Dates, dry, pale brown ",74.91,NOS,Cashew nut ,582.696628,NOS,Cashew nut ,0.61,GLV,Agathi leaves,0.33,NOS,Almond ,3.71,GL,"Soya bean, white",1.97,CSF,"Garlic, small clove",0.77,GLV,"Knol-Khol, leaves",13.57,GL,"Field bean, brown",292,GLV,Parsley,133,NOS,"Gingelly seeds, black",67.83,NOS,"Coconut, kernel, dry ",6.06,GLV,Spinach,325,GLV,"Colocasia leaves, green",5758,GLV,Agathi leaves,901,CSD,"Chillies, red",0.114,CSD,Asafoetida,15.68,NOS,Ground nut ,372,CSD,"Pepper, black",7.5,GL,"Green gram, dal",0.162,NOS,Pine seed,618,GL,"Soya bean, white",1634,RT,Water Chestnut,383,GLV,Parsley,53.08,CSD,Omum,5.67,NOS,"Gingelly seeds, brown ",18966,GL,"Soya bean, brown",1310,NOS,Mustard seeds ,0,F,Sapota ,3.61,NOS,Pistachio nuts,5.22,MMP,Khoa,10.34,GL,"Cowpea, white",7.14,MMP,"Milk, Whole, Cow",2.51,CM,"Rice, parboiled, milled",2.15,RT,"Yam, elephant",6.46,F,"Jambu fruit, ripe",5.32,GLV,"Pumpkin leaves, tender",1.76,CSF,Coriander leaves,6.44
NOS,Sunflower seeds,23.53,NOS,"Gingelly seeds, brown ",43.22,CSD,Cumin seedS,30.35,CM,"Rice, raw, brown",74.8,NOS,Pistachio nuts,539.436542,GL,"Soya bean, white",0.61,GL,"Green gram, whole",0.27,NOS,Safflower seeds ,3.52,GL,"Soya bean, brown",1.97,CSD,Fenugreek seeds,0.77,GLV,Parsley,13.47,GL,"Field bean, black",291,OV,"Capsicum, yellow",127,GL,"Soya bean, brown",66.22,CSD,Mace,4.16,GLV,Parsley,322,RT,"Carrot, orange",5423,CSD,Cumin seedS,878,MMP,Paneer,0.11,NOS,"Niger seeds, gray ",14.95,NOS,"Niger seeds, black ",349,CSD,Poppy seeds,7.14,GL,"Soya bean, brown",0.157,NOS,"Gingelly seeds, white",613,GL,"Soya bean, brown",1613,RT,"Sweet potato, brown skin",345,RT,"Carrot, orange",52.33,NOS,"Coconut, kernel, dry ",5.34,NOS,Safflower seeds ,18760,CSD,Fenugreek seeds,1082,GL,"Soya bean, white",0,OV,Bitter gourd,3.53,F,"Jambu fruit, ripe",5.21,CM,"Maize, tender, local",10.09,GL,"Peas, dry",7.12,CM,"Rice, parboiled, milled",2.48,CM,"Rice, raw, brown",2.02,GLV,Drumstick leaves,6.45,F,"Mango, ripe, kesar ",5.29,CM,"Amaranth seed, pale brown",1.69,MMP,"Milk, Whole, Cow",6.4
NOS,"Garden cress, seeds ",23.36,NOS,"Gingelly seeds, black",43.1,CSD,Poppy seeds,26.68,F,"Soya bean, white",72.67,NOS,Ground nut ,520.077056,NOS,Sunflower seeds,0.59,MF,Toddy,0.27,NOS,Sunflower seeds,3.52,GL,"Rajmah, black",1.91,S,"Jaggery, cane ",0.71,NOS,Walnut,13.05,GL,"Field bean, white",289,OV,"Capsicum, green",123,NOS,"Gingelly seeds, white",62.74,NOS,Walnut,4.12,GLV,"Colocasia leaves, green",318,RT,"Sweet potato, brown skin",5376,CSD,Coriander seeds,718,CM,"Amaranth seed, pale brown",0.092,NOS,"Niger seeds, black ",14.95,CSD,Coriander seeds,343,CSD,Omum,6.86,GL,"Soya bean, white",0.156,NOS,"Gingelly seeds, brown ",568,CSD,"Pepper, black",1487,RT,"Sweet potato, pink skin",329,MMP,Khoa,48.1,NOS,"Niger seeds, black ",4.86,NOS,"Gingelly seeds, white",18477,CSD,Cloves,691,GL,"Soya bean, brown",0,GLV,"Colocasia leaves, green",3.4,NOS,"Gingelly seeds, brown ",5.01,MMP,"Milk,Whole,Buffollo",9.83,GL,"Red gram, whole",7.07,MMP,"Milk,Whole,Buffollo",2.46,CM,"Wheat, bulgur",1.96,GLV,"Pumpkin leaves, tender",6.4,CSD,Mace,5.26,GLV,Parsley,1.68,GLV,Fenugreek leaves,6.27
NOS,Pistachio nuts,23.35,NOS,"Gingelly seeds, black",43.05,NOS,Linseeds,26.17,F,"Apricot, dried ",72.63,NOS,"Gingelly seeds, white",519.599044,GL,"Soya bean, brown",0.59,NOS,Almond ,0.26,NOS,Walnut,3.52,GL,"Lentil whole, brown",1.84,NOS,"Gingelly seeds, black",0.64,OV,"Bean scarlet, tender",12.26,GL,"Soya bean, white",288,GLV,Agathi leaves,121,CM,"Amaranth seed, black",58.75,CSD,Turmeric powder,2.92,GLV,"Knol-Khol, leaves",295,GLV,"Gogu leaves, green",5285,CSF,Curry leaves,659,CSD,"Cardamom, black",0.091,NOS,Mustard seeds ,14.95,CSD,Cloves,334,CM,"Amaranth seed, black",5.29,OV,"Red gram, tender, fresh",0.149,NOS,"Gingelly seeds, black",539,CSD,Coriander seeds,1473,RT,"Radish, round, red skin",309,GLV,Fenugreek leaves,47.01,NOS,"Gingelly seeds, black",4.83,CSD,Poppy seeds,13742,F,Wood Apple ,636,CSD,Fenugreek seeds,0,F,"Lime, sweet,pulp ",3.4,F,"Banana, ripe, montham",4.94,CSF,Mango ginger,9.8,OV,"Kovai, big",7.05,CM,"Rice, raw, brown",2.39,CSF,"Garlic, small clove",1.93,RT,"Sweet potato, brown skin",6.37,F,"Grapes, seedless, round, green ",5.25,GL,"Soya bean, white",1.68,CM,"Rice, parboiled, milled",6.26
GL,"Black gram, dal",23.06,NOS,Pistachio nuts,42.49,GL,"Bengal gram, whole",25.22,CSD,Asafoetida,71.95,NOS,"Gingelly seeds, brown ",516.491966,NOS,Ground nut ,0.57,CSF,"Garlic, big clove",0.25,NOS,Pine seed,3.52,GL,"Rajmah, red",1.82,NOS,"Gingelly seeds, white",0.62,GLV,"Colocasia leaves, green",12.1,GL,"Cowpea, white",249,OV,"Capsicum, red",112,CM,"Amaranth seed, pale brown",53.98,NOS,"Coconut, kernel, fresh ",2.72,GLV,"Amaranth leaves, green",280,CSF,Mint leaves,4602,MMP,Khoa,602,CSD,Omum,0.069,NOS,"Gingelly seeds, brown ",14.95,CSD,"Cardamom, green",330,NOS,"Niger seeds, gray ",4.44,CSD,Poppy seeds,0.143,NOS,Pistachio nuts,537,CSD,Cloves,1434,RT,Beet root,306,GLV,Spinach,42.55,CSD,"Cardamom, black",4.75,NOS,Almond ,13183,GL,"Black gram, whole",601,CSD,Cloves,0,GL,"Red gram, whole",3.28,MMP,Khoa,4.93,MMP,Paneer,9.76,M,"Button mushroom, fresh ",6.82,MMP,Paneer,2.28,CM,Varagu,1.92,CM,Varagu,6.27,RT,"Sweet potato, pink skin",5.21,F,"Papaya, ripe ",1.66,CSD,Coriander seeds,6.24
