missing_ingredient,nutrient_missing
curd,Protein (g)
sprouted green gram,Protein (g)
coriander leaves(chopped),Protein (g)
gram flour,Protein (g)
chillies red powder,Protein (g)
oil,Protein (g)
curd,Total Fat (g)
sprouted green gram,Total Fat (g)
coriander leaves(chopped),Total Fat (g)
gram flour,Total Fat (g)
chillies red powder,Total Fat (g)
oil,Total Fat (g)
curd,Total Dietary Fiber(g)
sprouted green gram,Total Dietary Fiber(g)
coriander leaves(chopped),Total Dietary Fiber(g)
gram flour,Total Dietary Fiber(g)
chillies red powder,Total Dietary Fiber(g)
oil,Total Dietary Fiber(g)
curd,CHO (g)
sprouted green gram,CHO (g)
coriander leaves(chopped),CHO (g)
gram flour,CHO (g)
chillies red powder,CHO (g)
oil,CHO (g)
curd,Energy (kcals)
sprouted green gram,Energy (kcals)
coriander leaves(chopped),Energy (kcals)
gram flour,Energy (kcals)
chillies red powder,Energy (kcals)
oil,Energy (kcals)
curd,Thaimine (mg)
sprouted green gram,Thaimine (mg)
coriander leaves(chopped),Thaimine (mg)
gram flour,Thaimine (mg)
chillies red powder,Thaimine (mg)
oil,Thaimine (mg)
curd,Riboflavin (mg)
sprouted green gram,Riboflavin (mg)
coriander leaves(chopped),Riboflavin (mg)
gram flour,Riboflavin (mg)
chillies red powder,Riboflavin (mg)
oil,Riboflavin (mg)
curd,Niacin (mg)
sprouted green gram,Niacin (mg)
coriander leaves(chopped),Niacin (mg)
gram flour,Niacin (mg)
chillies red powder,Niacin (mg)
oil,Niacin (mg)
curd,Pantothenic acid (mg)
sprouted green gram,Pantothenic acid (mg)
coriander leaves(chopped),Pantothenic acid (mg)
gram flour,Pantothenic acid (mg)
chillies red powder,Pantothenic acid (mg)
oil,Pantothenic acid (mg)
curd,Total B6 (mg)
sprouted green gram,Total B6 (mg)
coriander leaves(chopped),Total B6 (mg)
gram flour,Total B6 (mg)
chillies red powder,Total B6 (mg)
oil,Total B6 (mg)
curd,Biotin (B7) (mcg)
sprouted green gram,Biotin (B7) (mcg)
coriander leaves(chopped),Biotin (B7) (mcg)
gram flour,Biotin (B7) (mcg)
chillies red powder,Biotin (B7) (mcg)
oil,Biotin (B7) (mcg)
curd,Total folates (mcg)
sprouted green gram,Total folates (mcg)
coriander leaves(chopped),Total folates (mcg)
gram flour,Total folates (mcg)
chillies red powder,Total folates (mcg)
oil,Total folates (mcg)
curd,Total ascorbic acid (mg)
sprouted green gram,Total ascorbic acid (mg)
coriander leaves(chopped),Total ascorbic acid (mg)
gram flour,Total ascorbic acid (mg)
chillies red powder,Total ascorbic acid (mg)
oil,Total ascorbic acid (mg)
curd,Ergocalciferol D2 (mcg)
sprouted green gram,Ergocalciferol D2 (mcg)
coriander leaves(chopped),Ergocalciferol D2 (mcg)
gram flour,Ergocalciferol D2 (mcg)
chillies red powder,Ergocalciferol D2 (mcg)
oil,Ergocalciferol D2 (mcg)
curd,Vit E (mg)
sprouted green gram,Vit E (mg)
coriander leaves(chopped),Vit E (mg)
gram flour,Vit E (mg)
chillies red powder,Vit E (mg)
oil,Vit E (mg)
curd,Vit K1 (mcg)
sprouted green gram,Vit K1 (mcg)
coriander leaves(chopped),Vit K1 (mcg)
gram flour,Vit K1 (mcg)
chillies red powder,Vit K1 (mcg)
oil,Vit K1 (mcg)
curd,beta- carotene (mcg)
sprouted green gram,beta- carotene (mcg)
coriander leaves(chopped),beta- carotene (mcg)
gram flour,beta- carotene (mcg)
chillies red powder,beta- carotene (mcg)
oil,beta- carotene (mcg)
curd,Calcium (mg)
sprouted green gram,Calcium (mg)
coriander leaves(chopped),Calcium (mg)
gram flour,Calcium (mg)
chillies red powder,Calcium (mg)
oil,Calcium (mg)
curd,Chromium (mg)
sprouted green gram,Chromium (mg)
coriander leaves(chopped),Chromium (mg)
gram flour,Chromium (mg)
chillies red powder,Chromium (mg)
oil,Chromium (mg)
curd,Iron (mg)
sprouted green gram,Iron (mg)
coriander leaves(chopped),Iron (mg)
gram flour,Iron (mg)
chillies red powder,Iron (mg)
oil,Iron (mg)
curd,Magnesium (mg)
sprouted green gram,Magnesium (mg)
coriander leaves(chopped),Magnesium (mg)
gram flour,Magnesium (mg)
chillies red powder,Magnesium (mg)
oil,Magnesium (mg)
curd,Manganese (mg)
sprouted green gram,Manganese (mg)
coriander leaves(chopped),Manganese (mg)
gram flour,Manganese (mg)
